"t_stamp","add_feed 1","add_feed 2","cement_flow_return","cli_feed","gyp_feed","hopper_cli_lev","hopper_gyp_lev","hopper_lime_lev","lime_feed","tot_feed","tot_feed sv"
"2017-07-01 08:40:00.000","0.0","0.0","0.0","0.0","0.0","13.62832260131836","0.0","0.0","0.0","278.0451965332031","0.0"
"2017-07-01 08:50:00.000","0.0","0.0","0.0","0.0","0.0","12.47503662109375","0.0","0.0","0.0","277.4285583496094","0.0"
"2017-07-01 09:00:00.000","0.0","0.0","0.0","0.0","0.0","12.849188804626465","0.0","0.0","0.0","280.6904602050781","0.0"
"2017-07-01 09:10:00.000","0.0","0.0","0.0","0.0","0.0","13.296792030334473","0.0","0.0","0.0","277.6446228027344","0.0"
"2017-07-01 09:20:00.000","0.0","0.0","0.0","0.0","0.0","13.474345207214355","0.0","0.0","0.0","276.5555114746094","0.0"
"2017-07-01 09:30:00.000","0.0","0.0","0.0","0.0","0.0","17.783729553222656","0.0","0.0","0.0","0.28444239497184753","0.0"
"2017-07-01 09:40:00.000","0.0","0.0","0.0","0.0","0.0","17.801864624023438","0.0","0.0","0.0","0.2677890360355377","0.0"
"2017-07-01 09:50:00.000","0.0","0.0","0.0","0.0","0.0","13.052803993225098","0.0","0.0","0.0","307.08380126953125","0.0"
"2017-07-01 10:00:00.000","0.0","0.0","0.0","0.0","0.0","13.646808624267578","0.0","0.0","0.0","270.63763427734375","0.0"
"2017-07-01 10:10:00.000","0.0","0.0","0.0","0.0","0.0","10.832605361938477","0.0","0.0","0.0","276.4867248535156","0.0"
"2017-07-01 10:20:00.000","0.0","0.0","0.0","0.0","0.0","10.70443344116211","0.0","0.0","0.0","299.5243835449219","0.0"
"2017-07-01 10:30:00.000","0.0","0.0","0.0","0.0","0.0","13.494684219360352","0.0","0.0","0.0","297.97735595703125","0.0"
"2017-07-01 10:40:00.000","0.0","0.0","0.0","0.0","0.0","16.94235610961914","0.0","0.0","0.0","0.2877533733844757","0.0"
"2017-07-01 10:50:00.000","0.0","0.0","0.0","0.0","0.0","13.933927536010742","0.0","0.0","0.0","0.2651011347770691","0.0"
"2017-07-01 11:00:00.000","0.0","0.0","0.0","0.0","0.0","1.550976037979126","0.0","0.0","0.0","0.2384345382452011","0.0"
"2017-07-01 11:10:00.000","0.0","0.0","0.0","0.0","0.0","1.5677690505981445","0.0","0.0","0.0","0.27571940422058105","0.0"
"2017-07-01 11:20:00.000","0.0","0.0","0.0","0.0","0.0","1.5730345290966585","0.0","0.0","0.0","0.26674672961235046","0.0"
